City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Cali,CO,3.4372,-76.5225,77.0,73,75,4.61,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,79.3,74,2,15.55,clear sky
2,Arraial Do Cabo,BR,-22.9661,-42.0278,77.81,88,56,8.25,broken clouds
3,Alyangula,AU,-13.8483,136.4192,85.53,67,73,17.34,broken clouds
4,Deputatskiy,RU,69.3,139.9,7.7,89,100,2.75,overcast clouds
5,Carballo,ES,43.213,-8.691,55.0,76,0,3.44,clear sky
6,Anantapur,IN,14.6833,77.6,80.01,44,76,6.22,broken clouds
7,Mataura,NZ,-46.1927,168.8643,62.01,90,33,10.0,scattered clouds
8,Morro Bay,US,35.3658,-120.8499,71.6,37,1,18.41,clear sky
9,Whyalla,AU,-33.0333,137.5833,66.2,68,0,4.61,clear sky
10,Nanzhang,CN,31.7765,111.8386,63.09,85,6,1.45,clear sky
11,Ushuaia,AR,-54.8,-68.3,46.4,57,75,11.5,broken clouds
12,Tasiilaq,GL,65.6145,-37.6368,15.8,62,40,4.61,scattered clouds
13,Iqaluit,CA,63.7506,-68.5145,12.2,79,75,12.66,light snow
14,Khatanga,RU,71.9667,102.5,-2.67,97,100,7.72,overcast clouds
15,East London,ZA,-33.0153,27.9116,65.16,78,100,13.49,overcast clouds
16,Jamestown,US,42.097,-79.2353,39.0,93,90,21.54,mist
17,Saldanha,ZA,-33.0117,17.9442,62.6,59,100,3.44,overcast clouds
18,Carnarvon,AU,-24.8667,113.6333,71.6,100,40,4.61,scattered clouds
19,Svetlogorsk,BY,52.6333,29.7333,38.89,96,100,10.2,overcast clouds
20,Plettenberg Bay,ZA,-34.0527,23.3716,63.82,71,100,7.02,overcast clouds
21,Hithadhoo,MV,-0.6,73.0833,78.85,85,100,32.06,moderate rain
22,Hobart,AU,-42.8794,147.3294,57.99,44,75,12.66,broken clouds
23,Port Alfred,ZA,-33.5906,26.891,65.08,78,100,20.31,overcast clouds
24,Barrow,US,71.2906,-156.7887,-14.8,64,1,13.8,clear sky
25,Joao Pinheiro,BR,-17.7425,-46.1725,73.44,55,32,3.18,scattered clouds
26,Atuona,PF,-9.8,-139.0333,80.96,75,91,16.53,overcast clouds
27,Bluff,NZ,-46.6,168.3333,62.01,90,76,10.0,broken clouds
28,Cape Town,ZA,-33.9258,18.4232,66.99,77,0,1.14,clear sky
29,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,12.66,clear sky
30,Meulaboh,ID,4.1363,96.1285,76.28,88,96,4.56,overcast clouds
31,Kapaa,US,22.0752,-159.319,77.0,73,90,18.41,light rain
32,Lebu,CL,-37.6167,-73.65,55.99,93,2,11.83,clear sky
33,Castro,BR,-24.7911,-50.0119,64.72,91,99,4.72,overcast clouds
34,Westerland,DE,54.9079,8.3033,46.0,93,90,21.85,overcast clouds
35,San Cristobal,VE,7.7669,-72.225,68.27,84,89,2.91,overcast clouds
36,Talnakh,RU,69.4865,88.3972,-14.37,99,64,4.12,broken clouds
37,Terney,RU,45.0503,136.6092,35.58,98,100,9.62,overcast clouds
38,Bredasdorp,ZA,-34.5322,20.0403,60.8,88,100,13.8,overcast clouds
39,Nome,US,64.5011,-165.4064,19.0,93,90,28.77,snow
40,Mackay,AU,-21.15,149.2,82.4,65,75,10.36,broken clouds
41,Tuatapere,NZ,-46.1333,167.6833,62.01,90,72,10.0,broken clouds
42,Hermanus,ZA,-34.4187,19.2345,64.99,79,100,7.0,overcast clouds
43,Victoria,HK,22.2855,114.1577,77.0,86,26,1.01,scattered clouds
44,Georgetown,MY,5.4112,100.3354,79.0,94,20,5.35,light rain
45,Qaanaaq,GL,77.484,-69.3632,-20.81,75,66,5.91,broken clouds
46,Ponta Do Sol,PT,32.6667,-17.1,61.0,53,71,5.99,broken clouds
47,Mount Isa,AU,-20.7333,139.5,78.8,27,2,19.57,clear sky
48,Thompson,CA,55.7435,-97.8558,26.6,59,90,6.91,snow
49,Asau,RO,46.4333,26.4,37.99,43,93,4.92,overcast clouds
50,Si Bun Ruang,TH,16.9667,102.2833,81.59,55,50,2.1,scattered clouds
51,Srednekolymsk,RU,67.45,153.6833,2.5,89,100,5.23,overcast clouds
52,Canoinhas,BR,-26.1772,-50.39,64.18,96,41,2.13,scattered clouds
53,Dikson,RU,73.5069,80.5464,-27.63,100,96,7.25,overcast clouds
54,Chapais,CA,49.7834,-74.8492,30.2,93,90,10.36,light snow
55,Busselton,AU,-33.65,115.3333,67.5,55,10,5.66,clear sky
56,Belgrade,RS,44.804,20.4651,46.4,57,0,1.52,clear sky
57,Mar Del Plata,AR,-38.0023,-57.5575,66.0,88,40,11.5,scattered clouds
58,Avarua,CK,-21.2078,-159.775,82.4,83,75,16.11,broken clouds
59,Kodiak,US,57.79,-152.4072,44.6,49,1,9.22,clear sky
60,Katsuura,JP,35.1333,140.3,64.99,88,20,3.44,few clouds
61,Tiksi,RU,71.6872,128.8694,5.13,93,100,1.36,overcast clouds
62,Vanavara,RU,60.34,102.2797,16.2,100,100,2.21,overcast clouds
63,Pinehurst,US,35.1954,-79.4695,68.0,68,1,11.5,clear sky
64,Norman Wells,CA,65.282,-126.8329,-0.4,55,75,19.57,broken clouds
65,Helmsdale,GB,58.1168,-3.6517,53.6,76,75,17.27,moderate rain
66,Begun,IN,24.9833,75.0,77.09,19,1,8.05,clear sky
67,Butaritari,KI,3.0707,172.7902,81.01,79,81,14.14,light rain
68,Ribeira Grande,PT,38.5167,-28.7,60.37,84,100,22.84,overcast clouds
69,Noyon,FR,49.5833,3.0,48.0,76,0,9.22,clear sky
70,Rio Cuarto,AR,-33.1307,-64.3499,62.6,72,0,4.61,clear sky
71,Cocorit,MX,27.5833,-109.9667,87.8,13,20,13.8,few clouds
72,Vaini,TO,-21.2,-175.2,84.2,79,40,10.36,scattered clouds
73,Lompoc,US,34.6391,-120.4579,66.99,82,0,16.11,clear sky
74,Shakawe,BW,-18.3667,21.85,65.57,80,12,1.39,few clouds
75,Matara,LK,5.9485,80.5353,74.14,86,75,5.01,broken clouds
76,Saint-Louis,SN,16.3333,-15.0,84.2,34,0,4.61,clear sky
77,Mehamn,NO,71.0357,27.8492,27.52,78,91,7.16,overcast clouds
78,Kahului,US,20.8947,-156.47,75.2,64,40,23.02,scattered clouds
79,Nikolskoye,RU,59.7035,30.7861,39.99,87,0,2.24,light rain
80,Uyuni,BO,-20.4597,-66.825,54.54,53,32,8.32,scattered clouds
81,Flin Flon,CA,54.7682,-101.865,33.8,69,90,11.5,overcast clouds
82,Dingle,PH,10.9995,122.6711,81.3,78,100,8.57,overcast clouds
83,Boa Vista,BR,2.8197,-60.6733,87.8,51,20,4.61,few clouds
84,Mayna,RU,54.1135,47.6231,23.18,92,100,10.27,overcast clouds
85,Sabana De Torres,CO,7.3915,-73.4957,81.14,70,97,3.38,overcast clouds
86,Geraldton,AU,-28.7667,114.6,69.8,73,12,5.75,few clouds
87,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.4,46,66,17.9,broken clouds
88,Hasaki,JP,35.7333,140.8333,63.0,94,75,3.44,broken clouds
89,Legnago,IT,45.1832,11.3091,54.0,78,58,1.99,broken clouds
90,Ilulissat,GL,69.2167,-51.1,-11.2,44,1,6.76,clear sky
91,La Ronge,CA,55.1001,-105.2842,41.0,60,100,8.05,overcast clouds
92,Nanakuli,US,21.3906,-158.1547,80.6,54,1,14.97,clear sky
93,Ancud,CL,-41.8697,-73.8203,62.6,72,0,12.66,clear sky
94,Bandarbeyla,SO,9.4942,50.8122,76.12,72,24,3.87,few clouds
95,Vao,NC,-22.6667,167.4833,77.67,80,13,14.03,few clouds
96,Bambous Virieux,MU,-20.3428,57.7575,75.99,88,20,5.75,few clouds
97,Margate,GB,51.3813,1.3862,48.99,71,96,5.01,overcast clouds
98,Melendugno,IT,40.2747,18.3368,51.01,100,75,1.14,mist
99,Punta Arenas,CL,-53.15,-70.9167,46.4,61,0,2.3,clear sky
100,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,90,12.66,snow
101,Cavalcante,BR,-13.7975,-47.4583,71.31,55,100,1.63,overcast clouds
102,Yellowknife,CA,62.456,-114.3525,24.8,46,75,20.71,broken clouds
103,Kyren,RU,51.6828,102.1408,29.3,73,98,0.45,overcast clouds
104,Moron,AR,-34.6534,-58.6198,70.0,56,46,4.9,scattered clouds
105,San Pedro,PH,14.35,121.0167,82.99,74,20,5.75,few clouds
106,Constitucion,CL,-35.3333,-72.4167,57.15,68,0,0.31,clear sky
107,Sobolevo,RU,54.4299,31.8996,35.06,94,99,5.57,overcast clouds
108,Waipawa,NZ,-41.4122,175.5153,66.2,88,75,20.71,moderate rain
109,Sao Filipe,CV,14.8961,-24.4956,69.71,71,50,13.89,scattered clouds
110,Angleton,US,29.1694,-95.4319,60.01,77,90,16.11,light rain
111,New Smyrna Beach,US,29.0258,-80.927,82.4,50,1,11.5,clear sky
112,Kunnamangalam,IN,11.3046,75.8777,78.8,89,75,2.3,mist
113,Takoradi,GH,4.8845,-1.7554,79.54,86,12,7.72,few clouds
114,Bengkulu,ID,-3.8004,102.2655,76.44,90,98,3.47,overcast clouds
115,Aripuana,BR,-9.1667,-60.6333,73.09,97,76,1.95,light rain
116,Genthin,DE,52.4,12.1667,53.01,68,100,1.99,overcast clouds
117,Sioux Lookout,CA,50.1001,-91.917,32.0,37,75,5.75,broken clouds
118,Oussouye,SN,12.485,-16.5469,73.4,88,0,11.5,clear sky
119,Upernavik,GL,72.7868,-56.1549,-24.74,78,23,4.83,few clouds
120,Albany,US,42.6001,-73.9662,52.0,79,100,17.0,moderate rain
121,Tura,IN,25.5198,90.2201,71.53,26,0,4.94,clear sky
122,Changji,CN,44.0167,87.3167,48.2,81,75,4.47,broken clouds
123,Sabancuy,MX,18.9667,-91.1833,84.61,63,0,13.38,clear sky
124,New Norfolk,AU,-42.7826,147.0587,57.99,60,73,1.01,broken clouds
125,Riyadh,SA,24.6877,46.7219,62.6,22,0,5.75,clear sky
126,Esperance,AU,-33.8667,121.9,68.0,68,0,13.8,clear sky
127,Gigmoto,PH,13.7796,124.39,81.84,77,100,7.14,overcast clouds
128,Narsaq,GL,60.9167,-46.05,21.2,58,0,2.3,clear sky
129,Shanghai,CN,31.2222,121.4581,68.0,82,0,6.71,mist
130,Zhanaozen,KZ,43.3,52.8,39.18,89,55,10.31,broken clouds
131,Kailua,US,21.4022,-157.7394,80.6,53,75,9.22,broken clouds
132,Solnechnyy,RU,50.7214,136.6319,31.95,88,100,6.11,overcast clouds
133,Ambulu,ID,-8.345,113.6058,77.63,86,99,1.7,overcast clouds
134,Cam Ranh,VN,11.9214,109.1591,77.0,83,0,3.06,clear sky
135,Sitka,US,57.0531,-135.33,39.2,56,20,12.66,few clouds
136,Xinye,CN,32.5186,112.3522,61.39,80,17,4.92,few clouds
137,Hilo,US,19.7297,-155.09,73.4,73,90,10.36,overcast clouds
138,Faanui,PF,-16.4833,-151.75,82.76,72,45,20.07,scattered clouds
139,Pangnirtung,CA,66.1451,-65.7125,-0.76,96,100,2.55,overcast clouds
140,Lagoa,PT,39.05,-27.9833,59.45,82,100,16.62,overcast clouds
141,Hermiston,US,45.8404,-119.2895,62.01,36,90,25.32,haze
142,Roald,NO,62.5833,6.1333,42.8,65,75,12.66,broken clouds
143,San Juan,AR,-31.5375,-68.5364,70.39,24,0,9.66,clear sky
144,Ballina,AU,-28.8667,153.5667,75.2,69,40,8.05,scattered clouds
145,Euclides Da Cunha,BR,-10.5075,-39.0158,73.58,77,50,11.01,scattered clouds
146,San Patricio,US,28.017,-97.5169,57.99,72,90,16.11,overcast clouds
147,Baykit,RU,61.67,96.37,21.25,96,100,1.43,light snow
148,Vardo,NO,70.3705,31.1107,33.93,88,58,14.54,broken clouds
149,Saskylakh,RU,71.9167,114.0833,-1.62,97,99,3.4,overcast clouds
150,Souillac,MU,-20.5167,57.5167,75.2,88,20,5.75,few clouds
151,Luderitz,NA,-26.6481,15.1594,61.29,85,0,4.92,clear sky
152,Dolores,AR,-36.3132,-57.6792,62.65,93,99,10.51,overcast clouds
153,Perbaungan,ID,3.5679,98.956,75.2,100,75,3.44,light rain
154,Namibe,AO,-15.1961,12.1522,73.6,76,37,3.2,light rain
155,Tilichiki,RU,60.4667,166.1,7.14,76,12,8.39,few clouds
156,Te Anau,NZ,-45.4167,167.7167,61.68,76,80,4.97,broken clouds
157,Alofi,NU,-19.0595,-169.9187,82.4,78,6,18.41,light rain
158,Blackwater,AU,-23.5833,148.8833,80.85,49,43,8.9,scattered clouds
159,Whitianga,NZ,-36.8333,175.7,67.1,87,98,9.31,overcast clouds
160,Port-Gentil,GA,-0.7193,8.7815,75.2,94,90,18.41,moderate rain
161,Hofn,IS,64.2539,-15.2082,27.5,62,27,10.11,scattered clouds
162,Port Hardy,CA,50.6996,-127.4199,41.0,70,75,21.85,light rain
163,Komsomolskiy,UZ,40.4272,71.7189,50.0,62,75,18.41,light rain
164,Nemuro,JP,43.3236,145.575,46.4,100,75,6.91,moderate rain
165,Anloga,GH,5.7947,0.8973,80.6,83,20,3.44,few clouds
166,Kaitangata,NZ,-46.2817,169.8464,64.99,74,42,4.88,scattered clouds
167,Hay River,CA,60.8156,-115.7999,21.2,68,100,11.5,light snow
168,Tateyama,JP,34.9833,139.8667,66.99,88,20,8.05,few clouds
169,Deori Khas,IN,23.4,79.0167,77.83,18,1,5.41,clear sky
170,Nanortalik,GL,60.1432,-45.2371,22.3,69,2,17.05,clear sky
171,Oranjemund,NA,-28.55,16.4333,59.65,87,0,1.7,clear sky
172,Ekpoma,NG,6.7421,6.139,73.44,84,2,4.21,clear sky
173,Port Hedland,AU,-20.3167,118.5667,84.2,61,22,5.75,few clouds
174,Najran,SA,17.4924,44.1277,71.6,26,1,5.75,dust
175,Puerto Ayora,EC,-0.7393,-90.3518,79.0,91,33,3.0,scattered clouds
176,Cordoba,AR,-31.4135,-64.1811,61.0,88,0,3.44,clear sky
177,Los Andes,CL,-32.8337,-70.5983,69.01,82,0,1.01,clear sky
178,Bambanglipuro,ID,-7.95,110.2833,79.0,85,82,2.04,broken clouds
179,Kochevo,RU,59.5994,54.3125,26.71,94,94,6.11,overcast clouds
180,Elizabeth City,US,36.2946,-76.2511,72.0,88,40,10.36,scattered clouds
181,Longyearbyen,SJ,78.2186,15.6401,28.4,74,20,2.3,few clouds
182,Xining,CN,36.6167,101.7667,40.06,42,90,0.67,overcast clouds
183,Tessalit,ML,20.1986,1.0114,71.26,11,0,14.79,clear sky
184,Chuy,UY,-33.6971,-53.4616,63.36,92,45,4.54,scattered clouds
185,Necochea,AR,-38.5473,-58.7368,57.99,95,16,8.03,few clouds
186,Tiarei,PF,-17.5333,-149.3333,89.6,51,20,5.75,light rain
187,Lodwar,KE,3.1191,35.5973,85.08,41,90,4.81,overcast clouds
188,Ust-Barguzin,RU,53.45,108.9833,15.55,86,82,5.79,broken clouds
189,Pihuamo,MX,19.2499,-103.3828,78.8,53,75,17.27,broken clouds
190,Mount Gambier,AU,-37.8333,140.7667,60.8,88,90,4.61,overcast clouds
191,Jacareacanga,BR,-6.2222,-57.7528,75.45,88,69,2.46,heavy intensity rain
192,Manokwari,ID,-0.8667,134.0833,79.95,80,100,4.7,overcast clouds
193,Davila,PH,18.4726,120.5763,75.2,94,20,4.61,few clouds
194,Yar-Sale,RU,66.8333,70.8333,-17.81,100,13,7.47,few clouds
195,Cidreira,BR,-30.1811,-50.2056,73.24,83,30,5.3,scattered clouds
196,Bethel,US,41.3712,-73.414,57.99,97,100,1.01,overcast clouds
197,Berlevag,NO,70.8578,29.0864,30.76,79,74,12.03,broken clouds
198,Tatawin,TN,32.9297,10.4518,64.4,16,25,4.61,scattered clouds
199,Salalah,OM,17.0151,54.0924,75.2,53,0,3.44,clear sky
200,Hamilton,US,39.1834,-84.5333,45.0,53,90,16.11,overcast clouds
201,Fortuna,US,40.5982,-124.1573,51.01,87,20,19.57,few clouds
202,Pudozh,RU,61.8099,36.5345,33.42,93,91,8.14,overcast clouds
203,Ust-Ishim,RU,57.6935,71.1665,8.83,93,80,7.76,broken clouds
204,Nelson Bay,AU,-32.7167,152.15,72.0,78,75,6.91,broken clouds
205,Westport,US,41.1415,-73.3579,55.0,93,90,4.61,fog
206,Mapiripan,CO,2.8892,-72.1256,73.51,93,98,9.31,overcast clouds
207,Nyurba,RU,63.2842,118.3319,16.32,94,92,4.54,overcast clouds
208,Ushirombo,TZ,-3.4919,31.9639,64.24,85,17,0.89,few clouds
209,Pevek,RU,69.7008,170.3133,-11.2,95,71,4.38,broken clouds
210,Ambilobe,MG,-13.2,49.05,73.94,96,74,1.5,light rain
211,Roma,US,43.2128,-75.4557,51.8,76,90,14.97,overcast clouds
212,Provideniya,RU,64.3833,-173.3,15.67,88,100,21.85,light snow
213,Eten,PE,-6.9081,-79.8642,73.4,73,0,19.57,clear sky
214,Sinop,TR,41.7711,34.8709,38.75,77,28,5.79,scattered clouds
215,Inhambane,MZ,-23.865,35.3833,71.55,81,3,12.08,light rain
216,Kaele,CM,10.1092,14.4508,82.89,16,6,15.68,clear sky
217,Severo-Kurilsk,RU,50.6789,156.125,30.27,71,6,7.31,clear sky
218,Saint-Philippe,RE,-21.3585,55.7679,75.2,78,16,5.75,few clouds
219,Floriano,BR,-6.7669,-43.0225,77.83,79,73,2.75,broken clouds
220,Walvis Bay,NA,-22.9575,14.5053,61.0,94,0,6.91,clear sky
221,Isangel,VU,-19.55,169.2667,82.4,74,40,3.44,scattered clouds
222,Jumla,NP,29.2747,82.1838,44.94,62,73,3.85,broken clouds
223,Grindavik,IS,63.8424,-22.4338,28.4,80,75,13.8,broken clouds
224,Jahanabad,IN,25.2167,84.9833,66.2,55,0,1.74,haze
225,Poum,NC,-20.2333,164.0167,80.94,73,11,5.57,few clouds
226,Eureka,US,40.8021,-124.1637,52.0,79,3,7.0,clear sky
227,Mackenzie,CA,55.2999,-123.1698,30.2,86,75,11.5,snow
228,Sanmenxia,CN,34.7747,111.1814,59.32,29,98,8.88,moderate rain
229,Huron,US,41.1501,-82.5499,39.0,81,100,14.0,overcast clouds
230,Leningradskiy,RU,69.3833,178.4167,-3.35,91,100,5.59,overcast clouds
231,Cabo San Lucas,MX,22.8909,-109.9124,78.01,25,40,11.5,scattered clouds
232,Tomatlan,MX,19.9333,-105.25,80.11,45,48,5.66,scattered clouds
233,Kudahuvadhoo,MV,2.6708,72.8944,79.72,82,100,7.61,heavy intensity rain
234,Acari,PE,-15.4311,-74.6158,73.63,78,23,4.16,few clouds
235,Soyo,AO,-6.1349,12.3689,80.42,79,100,4.85,overcast clouds
236,Warrington,GB,53.3925,-2.5802,57.2,77,75,21.85,broken clouds
237,Jacqueville,CI,5.2052,-4.4146,82.4,89,20,5.75,few clouds
238,Aklavik,CA,68.2191,-135.0107,-4.0,54,50,4.61,scattered clouds
239,Berdigestyakh,RU,62.0989,126.6992,16.52,94,100,2.91,overcast clouds
240,Murgab,TM,37.4966,61.9714,42.8,81,4,9.22,clear sky
241,Bilma,NE,18.6853,12.9164,69.55,15,0,4.92,clear sky
242,San Antonio,US,29.4241,-98.4936,73.4,21,1,6.91,clear sky
243,Purpe,RU,64.4803,76.6897,-4.74,99,87,10.96,overcast clouds
244,Marathon,US,44.9,-89.7668,39.2,38,40,12.66,scattered clouds
245,Biak,ID,-0.9131,122.8766,78.03,84,100,3.6,overcast clouds
246,Mastic Beach,US,40.7668,-72.8521,55.4,88,90,12.66,mist
247,Soe,ID,-9.8607,124.284,69.91,87,100,3.69,light rain
248,Annau,TM,37.8876,58.516,46.4,71,90,4.61,overcast clouds
249,Ulladulla,AU,-35.35,150.4667,64.99,68,20,9.22,few clouds
250,Pisco,PE,-13.7,-76.2167,70.0,73,0,20.71,clear sky
251,Fare,PF,-16.7,-151.0167,82.4,72,17,21.25,few clouds
252,Machala,EC,-3.2667,-79.9667,80.6,74,75,4.61,broken clouds
253,Ishigaki,JP,24.3448,124.1572,77.0,100,75,3.44,broken clouds
254,Hambantota,LK,6.1241,81.1185,76.41,79,87,4.21,overcast clouds
255,Tautira,PF,-17.7333,-149.15,89.6,51,20,5.75,light rain
256,Birin,NP,26.8865,88.0718,56.62,20,1,6.53,clear sky
257,Kayankulam,IN,9.1833,76.5,76.3,89,76,4.54,broken clouds
258,Maua,BR,-23.6678,-46.4614,73.99,74,76,2.95,broken clouds
259,Charters Towers,AU,-20.1,146.2667,80.56,53,69,14.54,broken clouds
260,Torbay,CA,47.6666,-52.7314,25.0,68,75,2.3,broken clouds
261,Boo,SE,59.3333,18.2833,41.0,87,90,8.05,light intensity drizzle
262,Cherskiy,RU,68.75,161.3,-0.2,83,99,4.05,overcast clouds
263,Mragowo,PL,53.8644,21.3051,32.0,93,0,3.44,clear sky
264,Anastacio,BR,-20.4836,-55.8069,76.69,69,54,4.0,broken clouds
265,Balsas,BR,-7.5325,-46.0356,76.19,77,80,2.84,broken clouds
266,Montes Claros,BR,-16.735,-43.8617,78.8,44,0,4.61,clear sky
267,Kalmunai,LK,7.4167,81.8167,76.42,81,81,5.7,broken clouds
268,Kapiri Mposhi,ZM,-13.9652,28.6809,62.64,96,73,7.36,light rain
269,Avera,US,33.194,-82.5271,64.4,78,1,4.61,clear sky
270,Ola,RU,59.5833,151.2833,9.27,80,67,0.6,broken clouds
271,Yatou,CN,37.15,122.3833,49.59,46,98,8.12,overcast clouds
